department,category,month,actual_amount
Marketing ,Other,2026-05,1136.74
Sales,Other,2026-05,1420.73
operations,Salaries,2026-01,50882.77
HR,Software,2026-05,1129.34
operations,Software,2026-01,1719.94
Marketing ,Software,2026-05,2579.37
HR,Travel,2026-01,744.22
R&D,Salaries,2026-05,57332.35
HR,Software,2026-02,1149.67
Sales,Marketing Spend,2026-06,1901.77
R&D,Travel,2026-03,1581.56
Marketing ,Equipment,2026-04,809.06
operations,Travel,2026-05,1894.15
Sales,Equipment,2026-05,961.69
R&D,Other,2026-06,1437.23
Marketing ,Software,2026-06,2521.91
R&D,Equipment,2026-06,5688.49
R&D,Travel,2026-01,1476.47
R&D,Salaries,2026-02,60131.3
Sales,Salaries,2026-03,46181.57
R&D,Equipment,2026-04,
Marketing ,Software,2026-02,2496.69
Sales,Software,2026-02,1481.4
R&D,Software,2026-02,4732.4
IT ,Software,2026-02,7279.06
IT ,Travel,2026-01,979.56€
Sales,Salaries,2026-01,44048.7€
Marketing ,Salaries,2026-01,32692.74
Marketing ,Travel,2026-05,
Marketing ,Marketing Spend,2026-03,27232.29
operations,Salaries,2026-04,49292.06
IT ,Salaries,2026-02,41493.48
HR,Salaries,2026-04,28475.41
operations,Equipment,2026-04,4174.71
R&D,Salaries,2026-03,61126.82
Sales,Software,2026-03,1585.73
R&D,Other,2026-01,1447.58€
IT ,Software,2026-05,7494.01
HR,Other,2026-02,903.25
IT ,Software,2026-04,7219.05
Marketing ,Travel,2026-01,3082.6
IT ,Software,2026-01,7723.8
IT ,Other,2026-03,1054.6
R&D,Other,2026-04,1419.46
IT ,Other,2026-02,1058.56
Marketing ,Equipment,2026-03,818.75
Sales,Marketing Spend,2026-05,1896.77
operations,Travel,2026-04,1908.1
operations,Equipment,2026-02,4504.02€
Sales,Marketing Spend,2026-01,1893.92
Marketing ,Marketing Spend,2026-06,40969.22
Sales,Travel,2026-03,5729.14
Sales,Equipment,2026-06,1009.79
operations,Other,2026-01,1966.11
Sales,Travel,2026-05,6691.75
R&D,Equipment,2026-05,5684.82
Sales,Software,2026-06,1462.13
Marketing ,Marketing Spend,2026-01,26383.14
operations,Equipment,2026-05,3893.64
IT ,Equipment,2026-06,11324.01
operations,Travel,2026-03,1920.33
HR,Equipment,2026-04,507.06
operations,Salaries,2026-05,50103.78
operations,Salaries,2026-02,53170.41
R&D,Other,2026-02,1439.21
Sales,Equipment,2026-04,1037.94
Marketing ,Other,2026-04,1223.64
HR,Software,2026-06,1118.12
IT ,Other,2026-05,966.46
Sales,Marketing Spend,2026-04,1984.07
IT ,Software,2026-03,6454.88
operations,Equipment,2026-06,3959.34
Marketing ,Travel,2026-03,
IT ,Salaries,2026-04,43891.01
Marketing ,Travel,2026-06,3092.57
Sales,Travel,2026-06,9922.35
operations,Software,2026-03,
IT ,Salaries,2026-03,40644.47
HR,Equipment,2026-05,481.7
IT ,Other,2026-06,967.22
R&D,Software,2026-03,5239.72
HR,Salaries,2026-05,27699.48
IT ,Other,2026-01,1052.44
R&D,Travel,2026-06,1521.17
Marketing ,Other,2026-03,1196.27
